Name,Countries,child_language_countName
Huavean,Mexico,4
Iwaidjan Proper,Australia,4
Jodi-Saliban,"Colombia, Venezuela",4
Kamakanan,Brazil,4
Maiduan,USA,4
Mangarrayi-Maran,Australia,4
Maningrida,Australia,4
Naduhup,"Brazil, Colombia",4
North Bougainville,Papua New Guinea,4
Sentanic,Indonesia,4
Suki-Gogodala,Papua New Guinea,4
Tamaic,USA,4
Tangkic,Australia,4
Turama-Kikori,"Indonesia, Papua New Guinea",4
Walioic,Papua New Guinea,4
Yokutsan,USA,4
Yukaghir,"Ukraine, Russia",4
Ainu,"Japan, South Korea",3
Bororoan,Brazil,3
Charruan,Argentina,3
Dizoid,Ethiopia,3
East Bird's Head,Indonesia,3
Giimbiyu,Australia,3
Gumuz,"Ethiopia, Sudan",3
Jarrakan,Australia,3
Kalapuyan,USA,3
Kamula-Elevala,Indonesia,3
Katla-Tima,Sudan,3
Kawesqar,"Chile, Argentina",3
Kayagaric,Indonesia,3
Kolopom,Indonesia,3
Kuliak,Uganda,3
Kwalean,"Papua New Guinea, Indonesia",3
Lepki-Murkim-Kembra,Indonesia,3
Mairasic,Indonesia,3
Peba-Yagua,Peru,3
Shastan,USA,3
Tequistlatecan,Mexico,3
Tsimshian,"USA, Canada",3
Ulmapo,Indonesia,3
West Bomberai,Indonesia,3
Yangmanic,Australia,3
Zamucoan,"Paraguay, Bolivia",3
Amto-Musan,"Indonesia, Papua New Guinea",2
Araucanian,"Argentina, Chile",2
Baibai-Fas,Papua New Guinea,2
Bayono-Awbono,Indonesia,2
Bogia,Papua New Guinea,2
Boran,Brazil,2
Bulaka River,Indonesia,2
Bunaban,Australia,2
Cahuapanan,Peru,2
Chimakuan,USA,2
Coosan,USA,2
Doso-Turumsa,Indonesia,2
Eastern Daly,Australia,2
East Kutubu,Indonesia,2
Furan,"Sudan, Chad",2
Garrwan,Australia,2
Haida,Canada,2
Harakmbut,Peru,2
Hatam-Mansim,Indonesia,2
Hibito-Cholon,Peru,2
Huarpean,Argentina,2
Hurro-Urartian,"Syria, Iran",2
Inanwatan,Indonesia,2
Jarawa-Onge,India,2
Jicaquean,Honduras,2
Kakua-Nukak,Colombia,2
Katukinan,Brazil,2
Keresan,USA,2
Konda-Yahadian,Papua New Guinea,2
Koreanic,"North Korea, South Korea, China",2
Kresh-Aja,Sudan,2
Kwomtari-Nai,Papua New Guinea,2
Lencan,"El Salvador, Honduras",2
Limilngan-Wulna,Australia,2
Manubaran,Papua New Guinea,2
Marrku-Wurrugu,Australia,2
Mombum-Koneraw,Indonesia,2
Namla-Tofanma,Indonesia,2
Nivkh,Russia,2
North-Eastern Tasmanian,Tasmania,2
Northern Daly,Australia,2
Nyimang,Sudan,2
Otomaco-Taparita,Venezuela,2
Pahoturi,Papua New Guinea,2
Palaihnihan,USA,2
Piawi,Papua New Guinea,2
Puri-Coroado,Brazil,2
Rashad,Sudan,2
Senagi,"Papua New Guinea, Indonesia",2
Somahai,Indonesia,2
South-Eastern Tasmanian,Tasmania,2
Southern Daly,Australia,2
Tarascan,Mexico,2
Taulil-Butam,Papua New Guinea,2
Teberan,Papua New Guinea,2
Temeinic,Sudan,2
Ticuna-Yuri,Venezuela,2
Uru-Chipaya,Bolivia,2
Western Tasmanian,Tasmania,2
Wintuan,USA,2
Yawa-Saweru,Indonesia,2
Yuki-Wappo,USA,2
Abinomn,Indonesia,0
Abun,Indonesia,0
Adai,USA,0
Aewa,Peru,0
Aikanã,Brazil,0
Alsea-Yaquina,USA,0
Ambakich,Papua New Guinea,0
Andaqui,Colombia,0
Andoque,Colombia,0
Anem,Papua New Guinea,0
Ap Ma,Vanuatu,0
Arutani,"Brazil, Venezuela",0
Asabano,Papua New Guinea,0
Atacame,"Chile, Peru, Bolivia",0
Atakapa,Mexico,0
Bangime,Mali,0
Basque,"Spain, France",0
Beothuk,Canada,0
Berta,"Ethiopia, Sudan",0
Betoi-Jirara,Venezuela,0
Bilua,Solomon Islands,0
Bogaya,Papua New Guinea,0
Burmeso,Indonesia,0
Burushaski,"Pakistan, India",0
Camsá,Colombia,0
Candoshi-Shapra,Brazil,0
Canichana,Bolivia,0
Cayubaba,Bolivia,0
Cayuse,USA,0
Chimariko,USA,0
Chitimacha,USA,0
Chono,Chile,0
Coahuilteco,"Mexico, USA",0
Cofán,"Ecuador, Colombia",0
Comecrudan,Mexico,0
Cotoname,Mexico,0
Cuitlatec,Mexico,0
Culli,Peru,0
Damal,Indonesia,0
Dem,Indonesia,0
Dibiyaso,Papua New Guinea,0
Duna,Papua New Guinea,0
Elamite,"Egypt, Sudan",0
Elseng,Indonesia,0
Esselen,USA,0
Etruscan,Italy,0
Fasu,Indonesia,0
Fulniô,Brazil,0
Gaagudju,Australia,0
Guachi,Argentina,0
Guaicurian,USA,0
Guamo,Colombia,0
Guató,Brazil,0
Gule,Sudan,0
Guriaso,Papua New Guinea,0
Hadza,Tanzania,0
Hattic,Turkey,0
Hruso,India,0
Iberian,"Spain, Portugal, Andorra",0
Irántxe-Münkü,Brazil,0
Itonama,Bolivia,0
Jalaa,Nigeria,0
Jirajaran,Venezuela,0
Kaki Ae,Indonesia,0
Kanoê,Brazil,0
Kapori,Indonesia,0
Karami,Papua New Guinea,0
Karankawa,USA,0
Kariri,Brazil,0
Karok,USA,0
Kaure-Narau,Papua New Guinea,0
Kehu,Indonesia,0
Kenaboi,Malaysia,0
Kibiri,Papua New Guinea,0
Kimki,Indonesia,0
Klamath-Modoc,USA,0
Kol (Papua New Guinea),Papua New Guinea,0
Kosadle,Indonesia,0
Kujarge,"Chad, Sudan",0
Kunama,"Eritrea, Ethiopia",0
Kungarakany,Australia,0
Kunza,"Chile, Peru, Bolivia",0
Kuot,Papua New Guinea,0
Kusunda,Nepal,0
Kutenai,"Canada, USA",0
Kwaza,Brazil,0
Laal,Chad,0
Lafofa,Sudan,0
Laragia,Australia,0
Lavukaleve,Solomon Islands,0
Leco,Bolivia,0
Lomeriano-Ignaciano Chiquitano,Bolivia,0
Lule,Sweden,0
Máku,Australia,0
Maratino,Mexico,0
Marori,Indonesia,0
Massep,Indonesia,0
Matanawí,Brazil,0
Mato Grosso Arára,Brazil,0
Mawes,Indonesia,0
Maybrat-Karon,Indonesia,0
Meroitic,"Egypt, Sudan",0
Migueleño Chiquitano,Bolivia,0
Mimi-Gaudefroy,Chad,0
Minkin,Australia,0
Mochica,Peru,0
Molale,USA,0
Molof,USA,0
Mor (Bomberai Peninsula),Indonesia,0
Mosetén-Chimané,Venezuela,0
Movima,Bolivia,0
Mpur,Indonesia,0
Muniche,Peru,0
Mure,Bolivia,0
Nara,Eritrea,0
Natchez,USA,0
Nihali,India,0
Odiai,Papua New Guinea,0
Omurano,Peru,0
Ongota,Ethiopia,0
Oti,Brazil,0
Oyster Bay-Big River-Little Swanport,Tasmania,0
Páez,Colombia,0
Pankararú,Brazil,0
Papi,Papua New Guinea,0
Pawaia,Indonesia,0
Payagua,"Paraguay, Argentina, Bolivia",0
Pele-Ata,Papua New Guinea,0
Pirahã,Brazil,0
Puelche,Argentina,0
Puinave,Colombia,0
Pumé,Nepal,0
Puquina,Chile,0
Purari,Papua New Guinea,0
Pyu,Myanmar,0
Ramanos,Bolivia,0
Salinan,USA,0
Sandawe,Tanzania,0
Sapé,Vietnam,0
Sause,Indonesia,0
Savosavo,Solomon Islands,0
Sechuran,Peru,0
Seri,Mexico,0
Shabo,Ethiopia,0
Shom Peng,"India, Indonesia",0
Siamou,Burkina Faso,0
Siuslaw,USA,0
Sulka,Papua New Guinea,0
Sumerian,Iraq,0
Tabo,Indonesia,0
Taiap,Papua New Guinea,0
Takelma,USA,0
Tallán,Peru,0
Tambora,Indonesia,0
Tanahmerah,Indonesia,0
Taruma,Guyana,0
Taushiro,Peru,0
Timote-Cuica,Venezuela,0
Timucua,USA,0
Tinigua,Colombia,0
Tiwi,Australia,0
Tonkawa,USA,0
Touo,Solomon Islands,0
Trumai,Brazil,0
Tunica,USA,0
Tuxá,Brazil,0
Umbugarla,Australia,0
Urarina,Peru,0
Usku,Indonesia,0
Vilela,Argentina,0
Wadjiginy,Australia,0
Wageman,Australia,0
Waorani,Ecuador,0
Warao,"Suriname, Guyana",0
Washo,USA,0
Wiru,Colombia,0
Xukurú,Brazil,0
Yale,Papua New Guinea,0
Yámana,"Argentina, Chile",0
Yana,USA,0
Yele,Papua New Guinea,0
Yerakai,Papua New Guinea,0
Yetfa,Indonesia,0
Yuchi,USA,0
Yuracaré,Bolivia,0
Yurumanguí,Colombia,0
Zuni,USA,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
