Africa,aust1307
,indo1319
,afro1255
,mand1469
,cent2225
,nilo1247
,dogo1299
,gong1255
,khoe1240
,nubi1251
,surm1244
,heib1242
,ijoi1239
,maba1274
,saha1256
,song1307
,narr1279
,tuuu1241
,daju1249
,kadu1256
,koma1264
,kxaa1236
,sout2845
,maoo1243
,east2386
,tama1329
,dizo1235
,gumu1250
,katl1246
,kuli1252
,fura1235
,kres1240
,nyim1244
,rash1249
,teme1251
,book1242
,sign1238
,uncl1493
,pidg1258
,unat1236
,arti1236
,mixe1287
,spee1234
